From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
Q16787	Q16787	LAMA3_HUMAN	Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	LAMA3 LAMNA	animal organ morphogenesis [GO:0009887]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; endodermal cell differentiation [GO:0035987]; epidermis development [GO:0008544]; hemidesmosome assembly [GO:0031581]; integrin-mediated signaling pathway [GO:0007229]; morphogenesis of a polarized epithelium [GO:0001738]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; tissue development [GO:0009888]
P08581	P08581	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	branching morphogenesis of an epithelial tube [GO:0048754]; cell migration [GO:0016477]; cell surface receptor signaling pathway [GO:0007166]; endothelial cell morphogenesis [GO:0001886]; establishment of skin barrier [GO:0061436]; liver development [GO:0001889]; negative regulation of autophagy [GO:0010507]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; nervous system development [GO:0007399]; neuron differentiation [GO:0030182]; pancreas development [GO:0031016]; phagocytosis [GO:0006909]; positive chemotaxis [GO:0050918]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of kinase activity [GO:0033674]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of transcription by RNA polymerase II [GO:0045944]; semaphorin-plexin signaling pathway [GO:0071526]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]
Q14114	Q14114	LRP8_HUMAN	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	LRP8 APOER2	ammon gyrus development [GO:0021541]; cellular response to cholesterol [GO:0071397]; cellular response to growth factor stimulus [GO:0071363]; chemical synaptic transmission [GO:0007268]; cytokine-mediated signaling pathway [GO:0019221]; dendrite morphogenesis [GO:0048813]; endocytosis [GO:0006897]; layer formation in cerebral cortex [GO:0021819]; lipid metabolic process [GO:0006629]; modulation of chemical synaptic transmission [GO:0050804]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of dendrite development [GO:1900006]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein tyrosine kinase activity [GO:0061098]; proteolysis [GO:0006508]; reelin-mediated signaling pathway [GO:0038026]; regulation of apoptotic process [GO:0042981]; regulation of innate immune response [GO:0045088]; response to xenobiotic stimulus [GO:0009410]; retinoid metabolic process [GO:0001523]; signal transduction [GO:0007165]; ventral spinal cord development [GO:0021517]
Q9H081	Q9H081	MIS12_HUMAN	Protein MIS12 homolog	MIS12	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]; mitotic sister chromatid segregation [GO:0000070]; protein localization to kinetochore [GO:0034501]
Q05932	Q05932	FOLC_HUMAN	Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)	FPGS	animal organ regeneration [GO:0031100]; brain development [GO:0007420]; cell population proliferation [GO:0008283]; folic acid metabolic process [GO:0046655]; folic acid-containing compound biosynthetic process [GO:0009396]; folic acid-containing compound metabolic process [GO:0006760]; glutamate metabolic process [GO:0006536]; liver development [GO:0001889]; nucleobase-containing compound metabolic process [GO:0006139]; one-carbon metabolic process [GO:0006730]; tetrahydrofolylpolyglutamate biosynthetic process [GO:0046901]
Q96Q45	Q96Q45	TM237_HUMAN	Transmembrane protein 237 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein)	TMEM237 ALS2CR4	cilium assembly [GO:0060271]; regulation of Wnt signaling pathway [GO:0030111]
Q92574	Q92574	TSC1_HUMAN	Hamartin (Tuberous sclerosis 1 protein)	TSC1 KIAA0243 TSC	activation of GTPase activity [GO:0090630]; adaptive immune response [GO:0002250]; adult locomotory behavior [GO:0008344]; associative learning [GO:0008306]; cardiac muscle cell differentiation [GO:0055007]; cell population proliferation [GO:0008283]; cell projection organization [GO:0030030]; cell-matrix adhesion [GO:0007160]; cellular response to oxygen-glucose deprivation [GO:0090650]; cerebral cortex development [GO:0021987]; glucose import [GO:0046323]; hippocampus development [GO:0021766]; kidney development [GO:0001822]; memory T cell differentiation [GO:0043379]; myelination [GO:0042552]; negative regulation of ATP-dependent activity [GO:0032780]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell size [GO:0045792]; negative regulation of GTPase activity [GO:0034260]; negative regulation of macroautophagy [GO:0016242]; negative regulation of neuron projection development [GO:0010977]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; negative regulation of TOR signaling [GO:0032007]; negative regulation of translation [GO:0017148]; neural tube closure [GO:0001843]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of macroautophagy [GO:0016239]; positive regulation of stress fiber assembly [GO:0051496]; potassium ion transport [GO:0006813]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of cell-matrix adhesion [GO:0001952]; regulation of neuron death [GO:1901214]; regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of protein kinase activity [GO:0045859]; regulation of stress fiber assembly [GO:0051492]; regulation of translation [GO:0006417]; response to insulin [GO:0032868]; rRNA export from nucleus [GO:0006407]; synapse organization [GO:0050808]
Q9P2K8	Q9P2K8	E2AK4_HUMAN	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	EIF2AK4 GCN2 KIAA1338	adaptive immune response [GO:0002250]; cell cycle [GO:0007049]; cellular response to amino acid starvation [GO:0034198]; cellular response to cold [GO:0070417]; cellular response to leucine starvation [GO:1990253]; cellular response to UV [GO:0034644]; defense response to virus [GO:0051607]; DNA damage checkpoint signaling [GO:0000077]; eiF2alpha phosphorylation in response to endoplasmic reticulum stress [GO:0036492]; GCN2-mediated signaling [GO:0140469]; learning [GO:0007612]; long-term memory [GO:0007616]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of translational initiation [GO:0045947]; negative regulation of translational initiation in response to stress [GO:0032057]; neuron projection extension [GO:1990138]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of translational initiation in response to starvation [GO:0071264]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of cellular protein metabolic process [GO:0032268]; regulation of feeding behavior [GO:0060259]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by eIF2 alpha phosphorylation [GO:0010998]; T cell activation involved in immune response [GO:0002286]; viral translation [GO:0019081]
Q13488	Q13488	VPP3_HUMAN	V-type proton ATPase 116 kDa subunit a 3 (V-ATPase 116 kDa subunit a 3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	TCIRG1 ATP6N1C ATP6V0A3	apoptotic process [GO:0006915]; autophagosome assembly [GO:0000045]; B cell differentiation [GO:0030183]; bone resorption [GO:0045453]; cellular calcium ion homeostasis [GO:0006874]; cellular defense response [GO:0006968]; cellular response to cytokine stimulus [GO:0071345]; dentin mineralization [GO:0097188]; enamel mineralization [GO:0070166]; establishment of cell polarity [GO:0030010]; establishment of vesicle localization [GO:0051650]; gene expression [GO:0010467]; hematopoietic stem cell homeostasis [GO:0061484]; immunoglobulin mediated immune response [GO:0016064]; inflammatory response [GO:0006954]; lysosomal lumen acidification [GO:0007042]; macroautophagy [GO:0016236]; memory T cell activation [GO:0035709]; optic nerve development [GO:0021554]; ossification [GO:0001503]; osteoclast differentiation [GO:0030316]; osteoclast proliferation [GO:0002158]; pH reduction [GO:0045851]; phagosome acidification [GO:0090383]; positive regulation of cell population proliferation [GO:0008284]; protein catabolic process in the vacuole [GO:0007039]; protein localization to organelle [GO:0033365]; proton transmembrane transport [GO:1902600]; regulation of gene expression [GO:0010468]; regulation of insulin secretion [GO:0050796]; regulation of osteoblast differentiation [GO:0045667]; regulation of proton transport [GO:0010155]; response to silver ion [GO:0010272]; retina development in camera-type eye [GO:0060041]; ruffle organization [GO:0031529]; T cell differentiation [GO:0030217]; T cell homeostasis [GO:0043029]; T-helper 1 cell activation [GO:0035711]; tooth eruption [GO:0044691]; vacuolar acidification [GO:0007035]
Q9BUT9	Q9BUT9	MCRI2_HUMAN	MAPK regulated corepressor interacting protein 2 (Protein FAM195A)	MCRIP2 C16orf14 FAM195A	
Q9H2D6	Q9H2D6	TARA_HUMAN	TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin)	TRIOBP KIAA1662 TARA HRIHFB2122	actin filament organization [GO:0007015]; actin modification [GO:0030047]; auditory receptor cell stereocilium organization [GO:0060088]; barbed-end actin filament capping [GO:0051016]; cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; sensory perception of sound [GO:0007605]
Q99594	Q99594	TEAD3_HUMAN	Transcriptional enhancer factor TEF-5 (DTEF-1) (TEA domain family member 3) (TEAD-3)	TEAD3 TEAD5 TEF5	asymmetric neuroblast division [GO:0055059]; embryonic organ development [GO:0048568]; female pregnancy [GO:0007565]; hippo signaling [GO:0035329]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9BRA0	Q9BRA0	LSMD1_HUMAN	N-alpha-acetyltransferase 38, NatC auxiliary subunit (LSM domain-containing protein 1) (Phosphonoformate immuno-associated protein 2)	NAA38 LSMD1 MAK31 PFAAP2	N-terminal peptidyl-methionine acetylation [GO:0017196]; negative regulation of apoptotic process [GO:0043066]
Q9NZC9	Q9NZC9	SMAL1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (hHARP) (Sucrose nonfermenting protein 2-like 1)	SMARCAL1 HARP	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair via nonhomologous end joining [GO:0006303]; regulation of transcription by RNA polymerase II [GO:0006357]; replication fork processing [GO:0031297]; replication fork protection [GO:0048478]; t-circle formation [GO:0090656]
Q9Y5Y6	Q9Y5Y6	ST14_HUMAN	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	epithelial cell morphogenesis involved in placental branching [GO:0060672]; keratinocyte differentiation [GO:0030216]; neural tube closure [GO:0001843]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q86VY4	Q86VY4	TSYL5_HUMAN	Testis-specific Y-encoded-like protein 5 (TSPY-like protein 5)	TSPYL5 KIAA1750	cellular response to gamma radiation [GO:0071480]; nucleosome assembly [GO:0006334]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein ubiquitination [GO:0031398]
Q15545	Q15545	TAF7_HUMAN	Transcription initiation factor TFIID subunit 7 (RNA polymerase II TBP-associated factor subunit F) (Transcription initiation factor TFIID 55 kDa subunit) (TAF(II)55) (TAFII-55) (TAFII55)	TAF7 TAF2F TAFII55	DNA-templated transcription initiation [GO:0006352]; histone H3 acetylation [GO:0043966]; intracellular estrogen receptor signaling pathway [GO:0030520]; monoubiquitinated histone deubiquitination [GO:0035521]; monoubiquitinated histone H2A deubiquitination [GO:0035522]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of histone acetylation [GO:0035067]; negative regulation of histone H4 acetylation [GO:0090241]; negative regulation of MHC class I biosynthetic process [GO:0045344]; negative regulation of MHC class II biosynthetic process [GO:0045347]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; protein phosphorylation [GO:0006468]; regulation of DNA repair [GO:0006282]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase II preinitiation complex assembly [GO:0051123]; spermine transport [GO:0000296]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]
Q96PE3	Q96PE3	INP4A_HUMAN	Inositol polyphosphate-4-phosphatase type I A (Inositol polyphosphate 4-phosphatase type I) (Type I inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)	INPP4A	inositol phosphate metabolic process [GO:0043647]; phosphatidylinositol biosynthetic process [GO:0006661]; signal transduction [GO:0007165]
Q9BXW6	Q9BXW6	OSBL1_HUMAN	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B	bile acid biosynthetic process [GO:0006699]; cholesterol metabolic process [GO:0008203]; vesicle-mediated transport [GO:0016192]
Q13615	Q13615	MTMR3_HUMAN	Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64) (Zinc finger FYVE domain-containing protein 10)	MTMR3 KIAA0371 ZFYVE10	cellular response to glucose starvation [GO:0042149]; macroautophagy [GO:0016236]; phosphatidylinositol 5-phosphate metabolic process [GO:1904562]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; protein dephosphorylation [GO:0006470]; regulation of autophagosome assembly [GO:2000785]; regulation of autophagy [GO:0010506]; regulation of phosphatidylinositol dephosphorylation [GO:0060304]
Q99708	Q99708	CTIP_HUMAN	DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2)	RBBP8 CTIP	blastocyst hatching [GO:0001835]; cell division [GO:0051301]; DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; DNA repair [GO:0006281]; DNA strand resection involved in replication fork processing [GO:0110025]; double-strand break repair via homologous recombination [GO:0000724]; G1/S transition of mitotic cell cycle [GO:0000082]; homologous recombination [GO:0035825]; meiotic cell cycle [GO:0051321]; mitotic G2/M transition checkpoint [GO:0044818]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9Y6K0	Q9Y6K0	CEPT1_HUMAN	Choline/ethanolaminephosphotransferase 1 (hCEPT1) (EC 2.7.8.1) (EC 2.7.8.2) (1-alkenyl-2-acylglycerol choline phosphotransferase) (EC 2.7.8.22)	CEPT1 PRO1101	lipid metabolic process [GO:0006629]; phosphatidylethanolamine biosynthetic process [GO:0006646]
Q9HAD4	Q9HAD4	WDR41_HUMAN	WD repeat-containing protein 41	WDR41 MSTP048	autophagy [GO:0006914]; negative regulation of exocytosis [GO:0045920]; negative regulation of immune response [GO:0050777]; positive regulation of GTPase activity [GO:0043547]; regulation of autophagy [GO:0010506]
P49447	P49447	CY561_HUMAN	Transmembrane ascorbate-dependent reductase CYB561 (EC 7.2.1.-) (Cytochrome b-561) (Cytochrome b561)	CYB561	ascorbate homeostasis [GO:0140576]; cellular iron ion homeostasis [GO:0006879]; electron transport chain [GO:0022900]
P78368	P78368	KC1G2_HUMAN	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	endocytosis [GO:0006897]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]; sphingolipid biosynthetic process [GO:0030148]; Wnt signaling pathway [GO:0016055]
Q9Y2D4	Q9Y2D4	EXC6B_HUMAN	Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2)	EXOC6B KIAA0919 SEC15B SEC15L2	exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular protein transport [GO:0006886]; membrane fission [GO:0090148]; mitotic cytokinesis [GO:0000281]; vesicle docking involved in exocytosis [GO:0006904]; vesicle tethering involved in exocytosis [GO:0090522]
Q9H8T0	Q9H8T0	AKTIP_HUMAN	AKT-interacting protein (Ft1) (Fused toes protein homolog)	AKTIP FTS	apoptotic process [GO:0006915]; early endosome to late endosome transport [GO:0045022]; endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; lysosome organization [GO:0007040]; positive regulation of protein binding [GO:0032092]; positive regulation of protein phosphorylation [GO:0001934]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031]
Q13671	Q13671	RIN1_HUMAN	Ras and Rab interactor 1 (Ras inhibitor JC99) (Ras interaction/interference protein 1)	RIN1	endocytosis [GO:0006897]; signal transduction [GO:0007165]
Q8IWI9	Q8IWI9	MGAP_HUMAN	MAX gene-associated protein (MAX dimerization protein 5)	MGA KIAA0518 MAD5	cell fate specification [GO:0001708]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]
Q15047	Q15047	SETB1_HUMAN	Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.366) (ERG-associated protein with SET domain) (ESET) (Histone H3-K9 methyltransferase 4) (H3-K9-HMTase 4) (Lysine N-methyltransferase 1E) (SET domain bifurcated 1)	SETDB1 ESET KIAA0067 KMT1E	heterochromatin organization [GO:0070828]; histone H3-K9 methylation [GO:0051567]; negative regulation of gene expression [GO:0010629]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; positive regulation of DNA methylation-dependent heterochromatin assembly [GO:0090309]; Ras protein signal transduction [GO:0007265]
P62380	P62380	TBPL1_HUMAN	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)	TBPL1 TLF TLP TLP21 TRF2 TRP	acrosome assembly [GO:0001675]; DNA-templated transcription initiation [GO:0006352]; dTTP biosynthetic process [GO:0006235]; spermatid nucleus differentiation [GO:0007289]; transcription by RNA polymerase II [GO:0006366]
O95391	O95391	SLU7_HUMAN	Pre-mRNA-splicing factor SLU7 (hSlu7)	SLU7	alternative mRNA splicing, via spliceosome [GO:0000380]; cellular response to heat [GO:0034605]; intracellular protein transport [GO:0006886]; mRNA 3'-splice site recognition [GO:0000389]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]
Q6IA17	Q6IA17	SIGIR_HUMAN	Single Ig IL-1-related receptor (Single Ig IL-1R-related molecule) (Single immunoglobulin domain-containing IL1R-related protein) (Toll/interleukin-1 receptor 8) (TIR8)	SIGIRR UNQ301/PRO342	acute-phase response [GO:0006953]; negative regulation of chemokine production [GO:0032682]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of lipopolysaccharide-mediated signaling pathway [GO:0031665]; signal transduction [GO:0007165]
Q8NB46	Q8NB46	ANR52_HUMAN	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C (PP6-ARS-C) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-C) (Ankyrin repeat domain-containing protein 52)	ANKRD52	
P48200	P48200	IREB2_HUMAN	Iron-responsive element-binding protein 2 (IRE-BP 2) (Iron regulatory protein 2) (IRP2)	IREB2	cellular iron ion homeostasis [GO:0006879]; citrate metabolic process [GO:0006101]; erythrocyte homeostasis [GO:0034101]; establishment of localization in cell [GO:0051649]; intestinal absorption [GO:0050892]; iron ion homeostasis [GO:0055072]; iron ion transport [GO:0006826]; osteoclast differentiation [GO:0030316]; post-embryonic development [GO:0009791]; protoporphyrinogen IX biosynthetic process [GO:0006782]; tricarboxylic acid cycle [GO:0006099]
O95210	O95210	STBD1_HUMAN	Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1)	STBD1 GENX-3414	glycogen catabolic process [GO:0005980]; glycophagy [GO:0061723]; intracellular transport [GO:0046907]; substrate localization to autophagosome [GO:0061753]
Q9NP74	Q9NP74	PALMD_HUMAN	Palmdelphin (Paralemmin-like protein)	PALMD C1orf11 PALML	regulation of cell shape [GO:0008360]
Q8WUA8	Q8WUA8	TSK_HUMAN	Tsukushi (E2-induced gene 4 protein) (Leucine-rich repeat-containing protein 54)	TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788	anterior commissure morphogenesis [GO:0021960]; bone growth [GO:0098868]; camera-type eye development [GO:0043010]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; ciliary body morphogenesis [GO:0061073]; corpus callosum morphogenesis [GO:0021540]; energy homeostasis [GO:0097009]; growth plate cartilage chondrocyte development [GO:0003431]; hippocampus development [GO:0021766]; inner ear receptor cell stereocilium organization [GO:0060122]; lateral ventricle development [GO:0021670]; negative regulation of myofibroblast differentiation [GO:1904761]; negative regulation of neuron projection development [GO:0010977]; negative regulation of transforming growth factor beta1 production [GO:0032911]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of hair cycle [GO:0042635]; regulation of gene expression [GO:0010468]; wound healing [GO:0042060]
Q7Z2K8	Q7Z2K8	GRIN1_HUMAN	G protein-regulated inducer of neurite outgrowth 1 (GRIN1)	GPRIN1 KIAA1893	neuron projection development [GO:0031175]
Q15542	Q15542	TAF5_HUMAN	Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100)	TAF5 TAF2D	DNA-templated transcription initiation [GO:0006352]; histone H3 acetylation [GO:0043966]; monoubiquitinated histone deubiquitination [GO:0035521]; monoubiquitinated histone H2A deubiquitination [GO:0035522]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; protein phosphorylation [GO:0006468]; regulation of DNA repair [GO:0006282]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription initiation at RNA polymerase II promoter [GO:0006367]
Q9UHP3	Q9UHP3	UBP25_HUMAN	Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (USP on chromosome 21) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25)	USP25 USP21	negative regulation of ERAD pathway [GO:1904293]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; protein modification process [GO:0036211]; proteolysis [GO:0006508]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q9Y6W3	Q9Y6W3	CAN7_HUMAN	Calpain-7 (EC 3.4.22.-) (PalB homolog) (PalBH)	CAPN7 PALBH	positive regulation of epithelial cell migration [GO:0010634]; proteolysis [GO:0006508]; self proteolysis [GO:0097264]
Q7L3T8	Q7L3T8	SYPM_HUMAN	Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	PARS2	prolyl-tRNA aminoacylation [GO:0006433]
O94927	O94927	HAUS5_HUMAN	HAUS augmin-like complex subunit 5	HAUS5 KIAA0841	cell division [GO:0051301]; centrosome cycle [GO:0007098]; spindle assembly [GO:0051225]
O15014	O15014	ZN609_HUMAN	Zinc finger protein 609	ZNF609 KIAA0295	muscle organ development [GO:0007517]; positive regulation of neuron migration [GO:2001224]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of myoblast proliferation [GO:2000291]; regulation of transcription by RNA polymerase II [GO:0006357]
O75554	O75554	WBP4_HUMAN	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	WBP4 FBP21 FNBP21	mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]
Q5T5C0	Q5T5C0	STXB5_HUMAN	Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)	STXBP5 LLGL3	exocytosis [GO:0006887]; positive regulation of exocytosis [GO:0045921]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]; regulation of protein secretion [GO:0050708]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of synaptic vesicle priming [GO:0010807]
Q7L8J4	Q7L8J4	3BP5L_HUMAN	SH3 domain-binding protein 5-like (SH3BP-5-like)	SH3BP5L KIAA1720 UNQ2766/PRO7133	intracellular signal transduction [GO:0035556]; negative regulation of protein tyrosine kinase activity [GO:0061099]
Q7Z7L1	Q7Z7L1	SLN11_HUMAN	Schlafen family member 11 (EC 3.6.-.-)	SLFN11	cellular response to DNA damage stimulus [GO:0006974]; defense response to virus [GO:0051607]; immune system process [GO:0002376]; negative regulation of DNA replication [GO:0008156]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; positive regulation of cell death [GO:0010942]; replication fork arrest [GO:0043111]
Q07889	Q07889	SOS1_HUMAN	Son of sevenless homolog 1 (SOS-1)	SOS1	axon guidance [GO:0007411]; B cell homeostasis [GO:0001782]; blood vessel morphogenesis [GO:0048514]; cardiac atrium morphogenesis [GO:0003209]; cytokine-mediated signaling pathway [GO:0019221]; epidermal growth factor receptor signaling pathway [GO:0007173]; eyelid development in camera-type eye [GO:0061029]; Fc-epsilon receptor signaling pathway [GO:0038095]; fibroblast growth factor receptor signaling pathway [GO:0008543]; hair follicle development [GO:0001942]; heart trabecula morphogenesis [GO:0061384]; leukocyte migration [GO:0050900]; midbrain morphogenesis [GO:1904693]; multicellular organism growth [GO:0035264]; neurotrophin TRK receptor signaling pathway [GO:0048011]; pericardium morphogenesis [GO:0003344]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of GTPase activity [GO:0043547]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; Ras protein signal transduction [GO:0007265]; regulation of cell population proliferation [GO:0042127]; regulation of MAP kinase activity [GO:0043405]; regulation of pro-B cell differentiation [GO:2000973]; regulation of T cell differentiation in thymus [GO:0033081]; regulation of T cell proliferation [GO:0042129]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; signal transduction [GO:0007165]; vitellogenesis [GO:0007296]
Q8NEC7	Q8NEC7	GSTCD_HUMAN	Glutathione S-transferase C-terminal domain-containing protein	GSTCD	
